cvm_code,trade_name,b3_trade_name,b3_issuer_code,b3_segment,b3_sector,available_years
9415,São Paulo Turismo,SPTURIS,AHEB,Produção de Eventos e Shows,Consumo Cíclico,14
9512,Petrobras,PETROBRAS,PETR,"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis",14
9539,Pettenati,PETTENATI,PTNT,Fios e Tecidos,Consumo Cíclico,13
9954,Alfa Holdings,ALFA HOLDING,RPAD,Bancos,Financeiro,15
9989,Refinaria de Manguinhos,PET MANGUINH,RPMG,"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis",14
10456,Alpargatas,ALPARGATAS,ALPA,Calçados,Consumo Cíclico,14
10472,Saraiva,SARAIVA LIVR,SLED,Produtos Diversos,Consumo Cíclico,13
10880,Sondotécnica,SONDOTECNICA,SOND,Engenharia Consultiva,Bens Industriais,14
11070,WLM,WLM IND COM,WLMM,Material de Transporte,Bens Industriais,14
11207,Tecnosolo,TECNOSOLO,TCNO,Engenharia Consultiva,Bens Industriais,12
11223,Teka,TEKA,TEKA,Fios e Tecidos,Consumo Cíclico,14
11231,Tekno,TEKNO,TKNO,Artefatos de Ferro e Aço,Materiais Básicos,14
11258,Telebras,TELEBRAS,TELB,Telecomunicações,Comunicações,14
11312,Oi,OI,OIBR,Telecomunicações,Comunicações,14
11398,Tronox Pigmentos,CRISTAL,CRPG,Químicos Diversos,Materiais Básicos,14
11592,Unipar,UNIPAR,UNIP,Químicos Diversos,Materiais Básicos,14
11762,Vulcabras,VULCABRAS,VULC,Calçados,Consumo Cíclico,14
11932,Iochpe-Maxion,IOCHP-MAXION,MYPK,Automóveis e Motocicletas,Consumo Cíclico,14
11975,Azevedo & Travassos,AZEVEDO,AZEV,Construção Pesada,Bens Industriais,14
11991,Wetzel,WETZEL S/A,MWET,Material Rodoviário,Bens Industriais,14
12190,Bombril,BOMBRIL,BOBR,Produtos de Limpeza,Consumo não Cíclico,14
12319,Blue Tech Solutions,B TECH EQI,BLUT,Outros,Outros,12
12572,Recrusul,RECRUSUL,RCSL,Material Rodoviário,Bens Industriais,14
12653,Klabin,KLABIN S/A,KLBN,Papel e Celulose,Materiais Básicos,14
12696,Sansuy,SANSUY,SNSY,Materiais Diversos,Materiais Básicos,14
12823,Aliperti,ALIPERTI,APTI,Agricultura,Consumo não Cíclico,14
13285,Josapar,JOSAPAR,JOPA,Alimentos Diversos,Consumo não Cíclico,14
13366,Haga,HAGA S/A,HAGA,Produtos para Construção,Bens Industriais,14
13439,Metalúrgica Riosulense,RIOSULENSE,RSUL,Material Rodoviário,Bens Industriais,14
13447,POLPAR,POLPAR,PPAR,Outros,Outros,14
13471,Plascar,PLASCAR PART,PLAS,Automóveis e Motocicletas,Consumo Cíclico,14
13765,Minupar,MINUPAR,MNPR,Carnes e Derivados,Consumo não Cíclico,14
13773,Portobello,PORTOBELLO,PTBL,Produtos para Construção,Bens Industriais,14
13781,São Carlos,SAO CARLOS,SCAR,Exploração de Imóveis,Financeiro,14
13854,Cemepe,CEMEPE,MAPT,Outros,Outros,14
13986,Suzano,SUZANO S.A.,SUZB,Papel e Celulose,Materiais Básicos,14
14109,Randon,RANDON PART,RAPT,Material Rodoviário,Bens Industriais,14
14176,ELETROPAULO,ELETROPAULO,ELPL,Energia Elétrica,Utilidade Pública,14
14206,Banco de Brasília,BRB BANCO,BSLI,Bancos,Financeiro,14
14214,DIBENS LSG,DIBENS LSG,DBEN,Sociedade Arrendamento Mercantil,Financeiro,14
14300,SNB PARTCIP,SNB PARTCIP,,Não Classificado,Não Classificados,0
14311,Copel,COPEL,CPLE,Energia Elétrica,Utilidade Pública,14
14320,Usiminas,USIMINAS,USIM,Siderurgia,Materiais Básicos,14
14346,Whirlpool,WHIRLPOOL,WHRL,Eletrodomésticos,Consumo Cíclico,14
14362,CELPE,CELPE,CEPE,Energia Elétrica,Utilidade Pública,14
14443,Sabesp,SABESP,SBSP,Água e Saneamento,Utilidade Pública,14
14451,CEB,CEB,CEBR,Energia Elétrica,Utilidade Pública,14
14460,Cyrela,CYRELA REALT,CYRE,Incorporações,Consumo Cíclico,14
14524,COELBA,COELBA,CEEB,Energia Elétrica,Utilidade Pública,14
14605,Energisa MT,ENERGISA MT,ENMT,Energia Elétrica,Utilidade Pública,14
14664,Schulz,SCHULZ,SHUL,"Motores, Compressores e Outros",Bens Industriais,14
14761,Hering,CIA HERING,HGTX,Vestuário,Consumo Cíclico,11
14818,CIMS,CIMS,CMSA,Outros,Outros,14
14826,Grupo Pão de Açúcar,P.ACUCAR-CBD,PCAR,Alimentos,Consumo não Cíclico,14
14869,Coelce,COELCE,COCE,Energia Elétrica,Utilidade Pública,14
15091,LITEL,LITEL,LTEL,Minerais Metálicos,Materiais Básicos,14
15253,Energisa,ENERGISA,ENGI,Energia Elétrica,Utilidade Pública,14
15300,ALL NORTE,ALL NORTE,FRRN,Transporte Ferroviário,Bens Industriais,14
15342,ESCELSA,ESCELSA,ESCE,Energia Elétrica,Utilidade Pública,14
15369,FCA,FER C ATLANT,VSPT,Transporte Ferroviário,Bens Industriais,14
15423,ATOM,ATOMPAR,ATOM,Outros,Outros,14
15458,Embpar Participações,EMBPAR S/A,EPAR,Material de Transporte,Bens Industriais,14
15539,Neoenergia,NEOENERGIA,NEOE,Energia Elétrica,Utilidade Pública,14
15636,Comgás,COMGAS,CGAS,Gás,Utilidade Pública,14
15784,Eletropar,ELETROPAR,LIPR,Energia Elétrica,Utilidade Pública,14
16101,Gafisa,GAFISA,GFSA,Incorporações,Consumo Cíclico,14
16284,524 PARTICIP,524 PARTICIP,QVQP,Outros,Outros,14
16292,BRF,BRF SA,BRFS,Carnes e Derivados,Consumo não Cíclico,14
16306,Rossi Residencial,ROSSI RESID,RSID,Incorporações,Consumo Cíclico,14
16438,SUL 116 PART,SUL 116 PART,OPTS,Outros,Outros,14
16497,Encorpar,ENCORPAR,ECPR,Fios e Tecidos,Consumo Cíclico,12
16527,AES SUL,AES SUL,AESL,Energia Elétrica,Utilidade Pública,14
16586,SUDESTE S/A,SUDESTE S/A,OPSE,Outros,Outros,14
16608,Equatorial Maranhão,EQTLMARANHAO,EQMA,Energia Elétrica,Utilidade Pública,14
16616,Naturgy (CEG),CEG,CEGR,Gás,Utilidade Pública,14
16624,UPTICK,UPTICK,UPKP,Energia Elétrica,Utilidade Pública,14
16632,Dexxos,DEXXOS PAR,DEXP,Petroquímicos,Materiais Básicos,14
16659,Porto Seguro,PORTO SEGURO,PSSA,Seguradoras,Financeiro,14
16705,YBYRA S/A,YBYRA S/A,ALEF,Outros,Outros,14
16772,BNDESPAR,BNDESPAR,,Gestão de Recursos e Investimentos,Financeiro,14
16861,CASAN,CASAN,CASN,Água e Saneamento,Utilidade Pública,14
16942,OPPORT ENERG,OPPORT ENERG,OPHE,Outros,Outros,11
16985,EBE,EBE,EBEN,Energia Elétrica,Utilidade Pública,14
16993,EMAE,EMAE,EMAE,Energia Elétrica,Utilidade Pública,14
17329,Engie,ENGIE BRASIL,EGIE,Energia Elétrica,Utilidade Pública,14
17450,Rumo,RUMO S.A.,RAIL,Transporte Ferroviário,Bens Industriais,14
17485,Elektro,ELEKTRO,EKTR,Energia Elétrica,Utilidade Pública,14
17671,Vivo,TELEF BRASIL,VIVT,Telecomunicações,Comunicações,14
17884,BETAPART,BETAPART,BETP,Outros,Outros,14
17892,Santos Brasil,SANTOS BRP,STBP,Serviços de Apoio e Armazenagem,Bens Industriais,14
17914,MMX Mineração,MMX MINER,MMXM,Minerais Metálicos,Materiais Básicos,11
17922,BRAZILIAN FR,BRAZILIAN FR,BFRE,Gestão de Recursos e Investimentos,Financeiro,14
17930,ALL PAULISTA,ALL PAULISTA,GASC,Transporte Ferroviário,Bens Industriais,14
17949,MRS Logística,MRS LOGIST,MRSA,Transporte Ferroviário,Bens Industriais,14
17965,GAMA PART,GAMA PART,OPGM,Outros,Outros,14
17973,Cogna,COGNA ON,COGN,Serviços Educacionais,Consumo Cíclico,14
18066,ALTERE SEC,ALTERE SEC,ALTR,Securitizadoras de Recebíveis,Financeiro,14
18139,COSERN,COSERN,CSRN,Energia Elétrica,Utilidade Pública,14
18236,PATRIA SEC,CONFIANZA SA,NOOS,Securitizadoras de Recebíveis,Financeiro,13
18287,CIBRASEC,CIBRASEC,CBSC,Securitizadoras de Recebíveis,Financeiro,12
18309,Equatorial Energia Pará,EQTL PARA,EQPA,Energia Elétrica,Utilidade Pública,14
18333,PROMPT PART,PROMPT PART,PRPT,Outros,Outros,14
18368,Rio Paranapanema Energia,GER PARANAP,GEPA,Energia Elétrica,Utilidade Pública,14
18376,Transmissão Paulista,TRAN PAULIST,TRPL,Energia Elétrica,Utilidade Pública,14
18406,RBCAPITALRES,OPEA,RBRA,Securitizadoras de Recebíveis,Financeiro,13
18414,Padtec,PADTEC,PDTC,Programas e Serviços,Tecnologia da Informação,14
18430,WTORRE PIC,WTORRE PIC,WTPI,Securitizadoras de Recebíveis,Financeiro,12
